crisis_nm,date_month,date_year,glide,url
South Africa: Floods ,Mar,2014,FL-2014-000038-ZAF,https://api.reliefweb.int/v1/disasters/14272
Marshall Islands/Kiribati: King Tides ,Mar,2014,SS-2014-000032-MHL,https://api.reliefweb.int/v1/disasters/14216
Namibia: Cholera Outbreak ,Feb,2014,EP-2014-000025-NAM,https://api.reliefweb.int/v1/disasters/14110
Indonesia: Mt. Kelud Volcano ,Feb,2014,VO-2014-000022-IDN,https://api.reliefweb.int/v1/disasters/14139
Burundi: Floods and Landslides ,Feb,2014,FL-2014-000019-BDI,https://api.reliefweb.int/v1/disasters/14064
Seychelles: Floods ,Feb,2014,FL-2014-000014-SYC,https://api.reliefweb.int/v1/disasters/14074
Zimbabwe: Flash Floods ,Feb,2014,FF-2014-000015-ZWE,https://api.reliefweb.int/v1/disasters/14046
Guinea: Measles Outbreak ,Feb,2014,EP-2013-000161-GIN,https://api.reliefweb.int/v1/disasters/14109
Tanzania: Flash Floods ,Jan,2014,FF-2014-000009-TZA,https://api.reliefweb.int/v1/disasters/14001
Bolivia: Floods and Landslides ,Jan,2014,FL-2014-000008-BOL,https://api.reliefweb.int/v1/disasters/13964
Timor,Jan,2014,EP-2014-000024-TMP,https://api.reliefweb.int/v1/disasters/14086
Indonesia: Mt. Sinabung Volcano ,Jan,2014,VO-2013-000115-IDN,https://api.reliefweb.int/v1/disasters/13975
Philippines: Floods and Landslides ,Jan,2014,FL-2014-000006-PHL,https://api.reliefweb.int/v1/disasters/13911
Colombia: Earthquake and Floods ,Jan,2014,FL-2014-000004-COL,https://api.reliefweb.int/v1/disasters/13898
Tropical Cyclone Ian ,Jan,2014,TC-2014-000003-TON,https://api.reliefweb.int/v1/disasters/13865
Pakistan: Polio Outbreak ,,2017,EP-2014-000165-PAK,https://api.reliefweb.int/v1/disasters/17026
El Salvador: Chaparrastique Volcano ,Dec,2013,VO-2013-000160-SLV,https://api.reliefweb.int/v1/disasters/13835
Eastern Caribbean: Floods and Landslides ,Dec,2013,FL-2013-000159-VCT,https://api.reliefweb.int/v1/disasters/13829
Brazil: Floods and Landslides ,Dec,2013,FL-2013-000157-BRA,https://api.reliefweb.int/v1/disasters/13805
occupied Palestinian territory: Cold Wave ,Dec,2013,CW-2013-000153-PSE,https://api.reliefweb.int/v1/disasters/13761
Indonesia: Floods and Landslides ,Dec,2013,FL-2014-000005-IDN,https://api.reliefweb.int/v1/disasters/13936
Iran: Earthquake ,Nov,2013,EQ-2013-000147-IRN,https://api.reliefweb.int/v1/disasters/13672
Sudan: Yellow Fever Outbreak ,Nov,2013,EP-2013-000146-SDN,https://api.reliefweb.int/v1/disasters/13655
Nigeria: Cholera Outbreak ,Nov,2013,EP-2013-000162-NGA,https://api.reliefweb.int/v1/disasters/14072
Cameroon/Equatorial Guinea: Polio Outbreak ,Nov,2013,EP-2013-000164-CMR,https://api.reliefweb.int/v1/disasters/14308
Somalia: Floods ,Nov,2013,FL-2013-000141-SOM,https://api.reliefweb.int/v1/disasters/13596
Viet Nam: Floods ,Nov,2013,FL-2013-000142-VNM,https://api.reliefweb.int/v1/disasters/13601
Somalia: Tropical Cyclone ,Nov,2013,TC-2013-000140-SOM,https://api.reliefweb.int/v1/disasters/13565
Typhoon Haiyan ,Nov,2013,TC-2013-000139-PHL,https://api.reliefweb.int/v1/disasters/13529
Togo: Cholera Outbreak ,Nov,2013,EP-2013-000138-TGO,https://api.reliefweb.int/v1/disasters/13515
Syria/Iraq: Polio Outbreak ,Oct,2013,EP-2013-000163-SYR,https://api.reliefweb.int/v1/disasters/14205
Thailand: Floods ,Oct,2013,FL-2013-000083-THA,https://api.reliefweb.int/v1/disasters/13435
Pakistan: Dengue Outbreak ,Oct,2013,EP-2013-000136-PAK,https://api.reliefweb.int/v1/disasters/13432
Philippines: Earthquake ,Oct,2013,EQ-2013-000134-PHL,https://api.reliefweb.int/v1/disasters/13425
Tropical Cyclone Phailin ,Oct,2013,TC-2013-000133-IND,https://api.reliefweb.int/v1/disasters/13419
Typhoon Nari ,Oct,2013, TC-2013-000132-PHL,https://api.reliefweb.int/v1/disasters/13418
Benin: Cholera Outbreak ,Oct,2013,EP-2013-000130-BEN,https://api.reliefweb.int/v1/disasters/13406
Burkina Faso: Floods ,Oct,2013,FL-2013-000125-BFA,https://api.reliefweb.int/v1/disasters/13381
Cameroon: Floods ,Oct,2013,FL-2013-000123-CMR,https://api.reliefweb.int/v1/disasters/13370
Typhoon Wutip ,Oct,2013,TC-2013-000122-VNM,https://api.reliefweb.int/v1/disasters/13348
Colombia: Rainy Season ,Jan,2014,FL-2013-000145-COL,https://api.reliefweb.int/v1/disasters/13646
Cambodia: Floods ,Sep,2013,FL-2013-000131-KHM,https://api.reliefweb.int/v1/disasters/13384
South Sudan: Measles Outbreak ,Sep,2013,EP-2013-000126-SSD,https://api.reliefweb.int/v1/disasters/13385
Pakistan: Earthquakes ,Sep,2013,EQ-2013-000121-PAK,https://api.reliefweb.int/v1/disasters/13321
Typhoon Usagi ,Sep,2013,TC-2013-000120-PHL,https://api.reliefweb.int/v1/disasters/13310
Mauritania: Floods ,Sep,2013,FL-2013-000119-MRT,https://api.reliefweb.int/v1/disasters/13308
Central African Republic: Floods ,Sep,2013,FL-2013-000112-CAF,https://api.reliefweb.int/v1/disasters/13292
Romania: Flash Floods ,Sep,2013,FF-2013-000113-ROM,https://api.reliefweb.int/v1/disasters/13281
Mexico: Tropical Storms Ingrid and Manuel ,Sep,2013,TC-2013-000114-MEX,https://api.reliefweb.int/v1/disasters/13274
Paraguay: Drought ,Sep,2013,DR-2013-000128-PRY,https://api.reliefweb.int/v1/disasters/13423
Benin: Floods ,Sep,2013,FF-2013-000118-BEN,https://api.reliefweb.int/v1/disasters/13294
Nigeria: Floods ,Sep,2013,FL-2013-000116-NGA,https://api.reliefweb.int/v1/disasters/13282
Bolivia: Cold Wave ,Aug,2013,CW-2013-000106-BOL,https://api.reliefweb.int/v1/disasters/13200
Mali: Floods ,Aug,2013,FL-2013-000104-MLI,https://api.reliefweb.int/v1/disasters/13187
Lao PDR: Floods ,Aug,2013,FL-2013-000101-LAO,https://api.reliefweb.int/v1/disasters/13163
Russian Federation: Flash Floods ,Aug,2013,FF-2013-000100-RUS,https://api.reliefweb.int/v1/disasters/13147
Niger: Floods ,Aug,2013,FL-2013-000098-NER,https://api.reliefweb.int/v1/disasters/13144
Uganda: Measles Outbreak ,Aug,2013,EP-2013-000096-UGA,https://api.reliefweb.int/v1/disasters/13141
Lao PDR: Dengue Outbreak ,Aug,2013,EP-2013-000107-LAO,https://api.reliefweb.int/v1/disasters/13202
Philippines: Floods and Landslides ,Aug,2013,FL-2013-000095-PHL,https://api.reliefweb.int/v1/disasters/13124
South Sudan: Floods ,Aug,2013,FL-2013-000108-SSD,https://api.reliefweb.int/v1/disasters/13212
Peru: Cold Wave ,Aug,2013,CW-2013-000109-PER,https://api.reliefweb.int/v1/disasters/13220
